junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Airport Square,2023-02-01,LOW,0.0,2023,2,0,0,0,1.0,1.0,4.0,11.0,1.0,6.0,0.917,1,0,0.866025,0.5,2,0.974928,-0.222521,0,0.0,3.0,1.0,1.333,1.528,1.333,1.033,0.485,1.599375,0
Airport Square,2023-03-01,LOW,0.0,2023,3,0,0,0,0.0,0.0,1.0,11.0,1.0,6.0,0.917,1,0,1.0,0.0,2,0.974928,-0.222521,0,1.0,0.0,3.0,1.333,1.528,1.333,1.033,0.485,1.599375,0
Airport Square,2023-04-01,LOW,0.0,2023,4,0,0,0,0.0,0.0,1.0,11.0,1.0,6.0,0.917,2,0,0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,1.0,0.0,0.333,0.577,1.0,1.095,0.121,1.599375,0
Airport Square,2023-05-01,LOW,11.05,2023,5,1,1,1,0.0,0.0,0.0,10.0,1.0,5.0,0.833,2,0,0.5,-0.866025,0,0.0,1.0,0,0.0,0.0,1.0,0.333,0.577,0.833,1.169,0.133,1.599375,0
Airport Square,2023-06-01,LOW,0.0,2023,6,0,0,0,1.0,1.0,1.0,11.0,2.0,6.0,0.917,2,0,0.0,-1.0,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.667,1.211,0.0,1.599375,0
Airport Square,2023-07-01,LOW,1.1,2023,7,1,0,0,0.0,0.0,1.0,10.0,2.0,5.0,0.833,3,0,-0.5,-0.866025,5,-0.974928,-0.222521,1,1.0,0.0,0.0,0.333,0.577,0.333,0.516,0.133,1.599375,0
Airport Square,2023-08-01,LOW,0.0,2023,8,0,0,0,1.0,1.0,2.0,10.0,2.0,5.0,0.833,3,0,-0.866025,-0.5,1,0.781831,0.62349,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.133,1.599375,0
Airport Square,2023-09-01,LOW,9.94,2023,9,3,0,3,0.0,0.0,1.0,8.0,2.0,4.0,0.667,3,0,-1.0,-0.0,4,-0.433884,-0.900969,0,1.0,0.0,1.0,0.667,0.577,0.333,0.516,0.334,1.599375,0
Airport Square,2023-10-01,LOW,0.0,2023,10,0,0,0,3.0,3.0,4.0,10.0,2.0,6.0,0.833,4,0,-0.866025,0.5,6,-0.781831,0.62349,1,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.133,1.599375,0
Airport Square,2023-11-01,LOW,0.0,2023,11,0,0,0,0.0,0.0,3.0,9.0,2.0,6.0,0.75,4,0,-0.5,0.866025,2,0.974928,-0.222521,0,3.0,0.0,1.0,1.333,1.528,0.833,1.169,0.592,1.599375,0
Airport Square,2023-12-01,LOW,0.0,2023,12,0,0,0,0.0,0.0,3.0,6.0,2.0,5.0,0.5,4,0,-0.0,1.0,4,-0.433884,-0.900969,0,0.0,3.0,0.0,1.0,1.732,0.833,1.169,0.667,1.599375,0
Automotive Square,2020-01-01,LOW,0.0,2020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105208333333333,1
Automotive Square,2020-02-01,LOW,1.1,2020,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105208333333333,1
Automotive Square,2020-03-01,LOW,0.0,2020,3,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.083,1,0,1.0,0.0,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105208333333333,1
Automotive Square,2020-04-01,LOW,2.76,2020,4,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.083,2,0,0.866025,-0.5,2,0.974928,-0.222521,0,1.0,0.0,0.0,0.333,0.577,0.333,0.577,1.332,2.105208333333333,1
Automotive Square,2020-05-01,LOW,2.76,2020,5,1,0,1,1.0,1.0,2.0,2.0,0.0,1.0,0.167,2,0,0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,1.0,0.0,0.333,0.577,0.25,0.5,0.666,2.105208333333333,1
Automotive Square,2020-06-01,LOW,0.0,2020,6,0,0,0,1.0,1.0,2.0,3.0,0.0,2.0,0.25,2,0,0.0,-1.0,0,0.0,1.0,0,1.0,0.0,1.0,0.667,0.577,0.4,0.548,0.889,2.105208333333333,1
Automotive Square,2020-07-01,LOW,0.0,2020,7,0,0,0,0.0,0.0,2.0,3.0,0.0,2.0,0.25,3,0,-0.5,-0.866025,2,0.974928,-0.222521,0,1.0,1.0,0.0,0.667,0.577,0.5,0.548,0.889,2.105208333333333,1
Automotive Square,2020-08-01,LOW,0.0,2020,8,0,0,0,0.0,0.0,1.0,3.0,0.0,2.0,0.25,3,0,-0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,1.0,1.0,0.667,0.577,0.5,0.548,0.889,2.105208333333333,1
Automotive Square,2020-09-01,LOW,2.76,2020,9,1,0,1,0.0,0.0,0.0,3.0,0.0,2.0,0.25,3,0,-1.0,-0.0,1,0.781831,0.62349,0,0.0,0.0,1.0,0.333,0.577,0.5,0.548,0.444,2.105208333333333,1
Automotive Square,2020-10-01,LOW,0.0,2020,10,0,0,0,1.0,1.0,1.0,4.0,0.0,3.0,0.333,4,0,-0.866025,0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.333,0.516,0.0,2.105208333333333,1
Automotive Square,2020-11-01,LOW,0.0,2020,11,0,0,0,0.0,0.0,1.0,4.0,0.0,3.0,0.333,4,0,-0.5,0.866025,6,-0.781831,0.62349,1,1.0,0.0,0.0,0.333,0.577,0.5,0.548,0.333,2.105208333333333,1
