junction,year,month,period_date,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,risk_score,traffic_risk
Subhash Nagar Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,6,2020-06-01,1,0,1,1.0,1.0,3.0,3.0,0.0,2.0,0.25,2.76,LOW
Pardi Naka,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Jhansi Rani Square,2020,6,2020-06-01,4,1,4,5.0,5.0,11.0,21.0,2.0,14.0,1.75,17.68,LOW
Reserve Bank Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Airport Square,2020,6,2020-06-01,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.083,0.0,LOW
Kalamna Market Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sakkardara Square,2020,6,2020-06-01,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,LOW
Mate Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Somalwada Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Law College Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rambagh Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,6,2020-06-01,0,0,0,1.0,1.0,2.0,3.0,0.0,2.0,0.25,0.0,LOW
Omkar Nagar Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
HB Town Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Japanese Garden Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reshimbagh Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Itwari Railway Station Square,2020,6,2020-06-01,0,0,0,1.0,1.0,2.0,2.0,1.0,1.0,0.167,0.0,LOW
Deo Nagar Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Ram Nagar Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
KDK College Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pratap Nagar Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
VCA Stadium Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Zero Mile Freedom Park,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Shankar Nagar Square,2020,6,2020-06-01,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.083,0.0,LOW
Jhansi Rani Square,2020,7,2020-07-01,3,0,2,4.0,4.0,12.0,25.0,3.0,18.0,2.083,9.94,LOW
Pratap Nagar Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Dharampeth Tower,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Itwari Railway Station Square,2020,7,2020-07-01,0,0,0,0.0,0.0,2.0,2.0,1.0,1.0,0.167,0.0,LOW
Airport Square,2020,7,2020-07-01,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.083,0.0,LOW
Reserve Bank Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Subhash Nagar Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Omkar Nagar Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Deo Nagar Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Krida Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Shankar Nagar Square,2020,7,2020-07-01,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.083,0.0,LOW
Medical Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Somalwada Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reshimbagh Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,7,2020-07-01,0,0,0,0.0,0.0,2.0,3.0,0.0,2.0,0.25,0.0,LOW
LIC Chowk,2020,7,2020-07-01,12,0,9,10.0,10.0,24.0,55.0,4.0,43.0,4.583,33.15,MEDIUM
Rachana Ring Road,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Zero Mile Freedom Park,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Law College Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
HB Town Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Japanese Garden Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Bhande Plot Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rambagh Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Mate Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pardi Naka,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,7,2020-07-01,1,0,1,1.0,1.0,3.0,4.0,0.0,3.0,0.333,4.42,LOW
VCA Stadium Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Chhatrapati Square,2020,7,2020-07-01,0,0,0,1.0,1.0,3.0,4.0,0.0,1.0,0.333,0.0,LOW
Kalamna Market Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
KDK College Chowk,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sakkardara Square,2020,7,2020-07-01,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.083,0.0,LOW
Sitabuldi Interchange,2020,7,2020-07-01,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.083,6.08,LOW
Ram Nagar Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Wardha Road Toll Plaza,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sanvidhan Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,7,2020-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
KDK College Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Airport Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.083,0.0,LOW
Sakkardara Square,2020,8,2020-08-01,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.083,2.76,LOW
Omkar Nagar Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rambagh Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Dharampeth Tower,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Wardha Road Toll Plaza,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Jhansi Rani Square,2020,8,2020-08-01,9,0,7,3.0,3.0,12.0,28.0,3.0,20.0,2.333,26.52,MEDIUM
LIC Chowk,2020,8,2020-08-01,2,0,2,12.0,12.0,29.0,67.0,4.0,52.0,5.583,8.84,LOW
Japanese Garden Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Bhande Plot Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sitabuldi Interchange,2020,8,2020-08-01,1,0,1,1.0,1.0,1.0,2.0,0.0,2.0,0.167,2.76,LOW
Itwari Railway Station Square,2020,8,2020-08-01,0,0,0,0.0,0.0,1.0,2.0,1.0,1.0,0.167,0.0,LOW
HB Town Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Law College Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sanvidhan Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Ram Nagar Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reshimbagh Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Krida Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Kalamna Market Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Somalwada Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,8,2020-08-01,1,1,1,1.0,1.0,3.0,5.0,0.0,4.0,0.417,7.73,LOW
Medical Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pratap Nagar Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Chhatrapati Square,2020,8,2020-08-01,1,0,1,0.0,0.0,3.0,4.0,0.0,1.0,0.333,6.08,LOW
Subhash Nagar Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Shankar Nagar Square,2020,8,2020-08-01,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.083,0.0,LOW
Rachana Ring Road,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Zero Mile Freedom Park,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,8,2020-08-01,0,0,0,0.0,0.0,1.0,3.0,0.0,2.0,0.25,0.0,LOW
VCA Stadium Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pardi Naka,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reserve Bank Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Deo Nagar Chowk,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Mate Square,2020,8,2020-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Somalwada Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Shankar Nagar Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,0.0,LOW
Sanvidhan Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sakkardara Square,2020,9,2020-09-01,0,0,0,1.0,1.0,2.0,2.0,0.0,2.0,0.167,0.0,LOW
Krida Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rachana Ring Road,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Zero Mile Freedom Park,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Wardha Road Toll Plaza,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Bhande Plot Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pardi Naka,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Itwari Railway Station Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,2.0,1.0,1.0,0.167,0.0,LOW
Dharampeth Tower,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
KDK College Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
LIC Chowk,2020,9,2020-09-01,7,0,4,2.0,2.0,24.0,69.0,4.0,54.0,5.75,22.65,LOW
Chhatrapati Square,2020,9,2020-09-01,0,0,0,1.0,1.0,2.0,5.0,0.0,2.0,0.417,0.0,LOW
Medical Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reserve Bank Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,9,2020-09-01,1,0,1,0.0,0.0,0.0,3.0,0.0,2.0,0.25,2.76,LOW
VCA Stadium Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Mate Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Deo Nagar Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Ram Nagar Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Jhansi Rani Square,2020,9,2020-09-01,1,0,1,9.0,9.0,16.0,37.0,3.0,27.0,3.083,4.42,LOW
Rambagh Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Omkar Nagar Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Law College Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Japanese Garden Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reshimbagh Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Airport Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.083,0.0,LOW
Pratap Nagar Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,9,2020-09-01,0,0,0,1.0,1.0,3.0,6.0,1.0,5.0,0.5,0.0,LOW
Sitabuldi Interchange,2020,9,2020-09-01,0,0,0,1.0,1.0,2.0,3.0,0.0,3.0,0.25,0.0,LOW
Kalamna Market Chowk,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
HB Town Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Subhash Nagar Square,2020,9,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sitabuldi Interchange,2020,10,2020-10-01,0,0,0,0.0,0.0,2.0,3.0,0.0,3.0,0.25,0.0,LOW
Shankar Nagar Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,0.0,LOW
Pardi Naka,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reshimbagh Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Kalamna Market Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Wardha Road Toll Plaza,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Jhansi Rani Square,2020,10,2020-10-01,9,1,7,1.0,1.0,13.0,38.0,3.0,28.0,3.167,38.12,MEDIUM
Sanvidhan Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,10,2020-10-01,0,0,0,0.0,0.0,2.0,6.0,1.0,5.0,0.5,0.0,LOW
LIC Chowk,2020,10,2020-10-01,7,1,4,7.0,7.0,21.0,76.0,4.0,58.0,6.333,32.6,MEDIUM
Mate Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Subhash Nagar Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Medical Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
HB Town Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Japanese Garden Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Law College Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,10,2020-10-01,0,0,0,1.0,1.0,1.0,4.0,0.0,3.0,0.333,0.0,LOW
Reserve Bank Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Deo Nagar Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Dharampeth Tower,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Ram Nagar Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rambagh Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sakkardara Square,2020,10,2020-10-01,0,0,0,0.0,0.0,1.0,2.0,0.0,2.0,0.167,0.0,LOW
Zero Mile Freedom Park,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Krida Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Airport Square,2020,10,2020-10-01,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.083,6.08,LOW
Somalwada Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Bhande Plot Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
KDK College Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Chhatrapati Square,2020,10,2020-10-01,2,1,2,0.0,0.0,1.0,5.0,0.0,2.0,0.417,13.81,LOW
Pratap Nagar Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Itwari Railway Station Square,2020,10,2020-10-01,2,0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.167,3.87,LOW
Rachana Ring Road,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Omkar Nagar Square,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
VCA Stadium Chowk,2020,10,2020-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Japanese Garden Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
VCA Stadium Chowk,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
IT Park Ring Road,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Dharampeth Tower,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Variety Square,2020,11,2020-11-01,0,0,0,0.0,0.0,1.0,6.0,1.0,5.0,0.5,0.0,LOW
Shankar Nagar Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,0.0,LOW
Kalamna Market Chowk,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
HB Town Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Ram Nagar Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Bhande Plot Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sakkardara Square,2020,11,2020-11-01,0,0,0,0.0,0.0,1.0,2.0,0.0,2.0,0.167,0.0,LOW
Rachana Ring Road,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Manewada Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Mate Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Khamla Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,11,2020-11-01,0,0,0,0.0,0.0,1.0,4.0,0.0,3.0,0.333,0.0,LOW
Reshimbagh Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pratap Nagar Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Reserve Bank Chowk,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Deo Nagar Chowk,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Zero Mile Freedom Park,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Nandanvan Main Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Somalwada Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Medical Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Subhash Nagar Square,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sitabuldi Interchange,2020,11,2020-11-01,0,0,0,0.0,0.0,1.0,3.0,0.0,3.0,0.25,0.0,LOW
Wardha Road Toll Plaza,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Krida Chowk,2020,11,2020-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
